deso,hyresrätt,bostadsrätt,äganderätt,uppgift saknas,,"Antal lägenheter efter år, region och upplåtelseform"
0163C1160,427,525,10,0,,
0163C1170,80,917,0,0,,
0163C1180,270,269,245,0,,
0163C1190,3,289,366,0,,
0163C1200,16,308,369,0,,
0163C1210,13,657,316,0,,
0163C1220,836,319,202,0,,
0163C1230,129,437,109,0,,
0163C1240,362,678,162,0,,
0163C1250,601,254,0,0,,
0163C1260,1076,30,0,0,,
0163C1270,593,583,0,0,,
0163C1280,10,84,515,0,,
0163C1290,20,408,537,0,,
0163C1300,34,134,566,0,,
0163C1310,173,176,670,0,,
0163C1320,54,0,563,0,,
0163C1330,208,127,354,0,,
0163C1340,28,467,218,0,,
0163C1350,470,248,56,0,,
0163C1360,40,231,410,0,,
0163C1370,330,257,123,0,,
0163C1380,12,9,620,0,,
0163C1390,337,0,86,0,,
0163C1400,249,201,89,0,,
0180C1010,972,83,30,0,,
0180C1020,630,237,0,0,,
0180C1030,168,444,261,0,,
0180C1040,743,429,0,0,,
0180C1050,197,884,134,0,,
0180C1060,459,619,0,0,,
0180C1070,488,197,0,0,,
0180C1080,60,682,0,0,,
0180C1090,134,561,0,0,,
0180C1100,1237,370,2,0,,
0180C1110,190,231,417,0,,
0180C1120,459,176,0,0,,
0180C1130,568,241,0,0,,
0180C1140,482,233,0,0,,
0180C1150,283,124,190,0,,
0180C1160,551,165,0,0,,
0180C1170,201,818,120,0,,
0180C1180,857,0,90,0,,
0180C1190,4,830,1,0,,
0180C1200,505,167,0,0,,
0180C1210,238,406,168,0,,
0180C1220,1081,265,0,0,,
0180C1230,849,57,0,0,,
0180C1240,1229,210,350,0,,
0180C1250,934,376,0,0,,
0180C1260,850,82,0,0,,
0180C1270,130,367,275,0,,
0180C1280,364,476,0,0,,
0180C1290,739,414,0,0,,
0180C1300,594,168,0,0,,
0180C1310,723,159,0,0,,
0180C1320,826,358,33,0,,
0180C1330,662,141,0,0,,
0180C1340,732,0,49,0,,
0180C1350,71,859,68,0,,
0180C1360,710,68,0,0,,
0180C1370,477,709,0,0,,
0180C1380,311,569,0,0,,
0180C1390,482,569,0,0,,
0180C1400,643,61,221,0,,
0180C1410,550,723,0,0,,
0180C1420,1,0,444,0,,
0180C1430,9,39,423,0,,
0180C1440,502,215,266,0,,
0180C1450,710,601,0,0,,
0180C1460,563,542,0,0,,
0180C1470,926,136,0,0,,
0180C1480,688,193,0,0,,
0180C1490,310,0,344,0,,
0180C1500,609,301,0,0,,
0180C1510,691,150,0,0,,
0180C1520,256,570,0,0,,
0180C1530,547,511,73,0,,
0180C1540,441,444,0,0,,
0180C1550,5,52,580,0,,
0180C1560,773,0,48,0,,
0180C1570,685,0,265,0,,
0180C1580,448,504,0,0,,
0180C1590,1030,262,0,0,,
0180C1600,506,90,190,0,,
0180C1610,239,467,167,0,,
0180C1620,24,31,415,0,,
0180C1630,120,11,528,0,,
0180C1640,148,365,277,0,,
0180C1650,58,129,485,0,,
0180C1660,591,0,0,0,,
0180C1670,16,26,517,0,,
0180C1680,693,0,0,0,,
0180C1690,11,0,520,0,,
0180C1700,5,14,602,0,,
0180C1710,315,851,8,0,,
0180C1720,696,0,0,0,,
0180C1730,413,268,0,0,,
0180C1740,11,589,79,0,,
0180C1750,496,202,99,0,,
0180C1760,487,60,145,0,,
0180C1770,159,200,413,0,,
0180C1780,247,520,0,0,,
0180C1790,232,282,328,0,,
0180C1800,517,267,0,0,,
0180C1810,70,137,313,0,,
0180C1820,116,907,30,0,,
0180C1830,66,34,545,0,,
0180C1840,407,323,137,0,,
0180C1850,229,545,63,0,,
0180C1860,88,588,203,0,,
0180C1870,715,1311,13,0,,
0180C1880,159,536,223,0,,
0180C1890,113,200,374,0,,
0180C1900,763,126,0,0,,
0180C1910,610,172,0,0,,
0180C1920,247,143,365,0,,
0180C1930,590,369,349,0,,
0180C1940,909,234,0,0,,
0180C1950,328,306,193,0,,
0180C1960,66,305,211,0,,
0180C1970,146,0,436,0,,
0180C1980,675,494,37,0,,
0180C1990,211,133,298,0,,
0180C2000,386,188,194,0,,
0180C2010,628,382,0,0,,
0180C2020,388,399,0,0,,
0180C2030,448,765,0,0,,
0180C2040,644,0,0,0,,
0180C2050,572,496,0,0,,
0180C2060,667,360,0,0,,
0180C2070,0,931,0,0,,
0180C2080,0,996,0,0,,
0180C2090,127,739,111,0,,
0180C2100,401,132,254,0,,
0180C2110,884,621,186,0,,
0180C2120,172,341,273,0,,
0180C2130,541,433,15,0,,
0180C2140,639,290,58,0,,
0180C2150,1076,0,57,0,,
0180C2160,40,654,0,0,,
0180C2170,269,169,157,0,,
0180C2180,889,202,0,0,,
0180C2190,242,76,409,0,,
0180C2200,482,386,0,0,,
0180C2210,225,313,0,0,,
0180C2220,87,64,535,0,,
0180C2230,595,139,0,0,,
0180C2240,579,725,0,0,,
0180C2250,1061,122,80,0,,
0180C2260,252,371,0,0,,
0180C2270,520,466,0,0,,
0180C2280,1039,139,0,0,,
0180C2290,708,20,183,0,,
0180C2300,16,283,511,0,,
0180C2310,945,313,0,0,,
0180C2320,300,656,57,0,,
0180C2330,594,443,0,0,,
0180C2340,263,595,0,0,,
0180C2350,534,142,261,0,,
0180C2360,633,491,1,0,,
0180C2370,467,320,55,0,,
0180C2380,191,215,280,0,,
0180C2390,471,720,0,0,,
0180C2400,0,831,0,0,,
0180C2410,282,663,0,0,,
0180C2420,700,346,0,0,,
0180C2430,696,742,0,0,,
0180C2440,683,583,0,0,,
0180C2450,205,901,0,0,,
0180C2460,585,811,0,0,,
0180C2470,631,399,0,0,,
0180C2480,366,598,0,0,,
0180C2490,337,488,33,0,,
0180C2500,633,192,0,0,,
0180C2510,799,445,0,0,,
0180C2520,701,347,0,0,,
0180C2530,410,862,0,0,,
0180C2540,250,1017,0,0,,
0180C2550,504,317,0,0,,
0180C2560,51,997,0,0,,
0180C2570,191,1009,0,0,,
0180C2580,65,150,475,0,,
0180C2590,265,823,0,0,,
0180C2600,35,69,431,0,,
0180C2610,347,784,17,0,,
0180C2620,323,1418,0,0,,
0180C2630,171,708,0,0,,
0180C2640,205,71,418,0,,
0180C2650,436,590,4,0,,
0180C2660,193,678,0,0,,
0180C2670,324,694,0,0,,
0180C2680,557,588,36,0,,
0180C2690,532,561,0,0,,
0180C2700,533,670,0,0,,
0180C2710,330,711,0,0,,
0180C2720,583,439,5,0,,
0180C2730,781,423,5,0,,
0180C2740,417,579,1,0,,
0180C2750,276,651,0,0,,
0180C2760,415,348,0,0,,
0180C2770,473,508,0,0,,
0180C2780,247,1171,42,0,,
0180C2790,221,680,0,0,,
0180C2800,309,808,0,0,,
0180C2810,0,929,0,0,,
0180C2820,427,322,32,0,,
0180C2830,341,360,0,0,,
0180C2840,393,550,0,0,,
0180C2850,506,343,0,0,,
0180C2860,483,568,0,0,,
0180C2870,111,580,0,0,,
0180C2880,570,695,0,0,,
0180C2890,164,734,0,0,,
0180C2900,145,703,0,0,,
0180C2910,686,532,0,0,,
0180C2920,503,241,87,0,,
0180C2930,665,446,0,0,,
0180C2940,155,900,0,0,,
0180C2950,795,1280,153,0,,
0180C2960,368,602,0,0,,
0180C2970,682,245,53,0,,
0180C2980,0,597,0,0,,
0180C2990,79,500,0,0,,
0180C3000,362,598,0,0,,
0180C3010,227,463,0,0,,
0180C3020,471,351,0,0,,
0180C3030,408,312,0,0,,
0180C3040,569,435,0,0,,
0180C3050,211,773,0,0,,
0180C3060,109,526,0,0,,
0180C3070,224,605,0,0,,
0180C3080,471,279,0,0,,
0180C3090,427,217,0,0,,
0180C3100,567,604,0,0,,
0180C3110,632,398,0,0,,
0180C3120,156,562,0,0,,
0180C3130,200,767,0,0,,
0180C3140,497,667,0,0,,
0180C3150,380,635,0,0,,
0180C3160,644,385,0,0,,
0180C3170,245,741,0,0,,
0180C3180,393,815,0,0,,
0180C3190,640,427,0,0,,
0180C3200,845,234,0,0,,
0180C3210,109,757,0,0,,
0180C3220,60,782,3,0,,
0180C3230,207,679,0,0,,
0180C3240,111,756,0,0,,
0180C3250,481,693,0,0,,
0180C3260,1215,62,0,0,,
0180C3270,217,616,0,0,,
0180C3280,153,469,0,0,,
0180C3290,656,338,0,0,,
0180C3300,452,539,0,0,,
0180C3310,439,364,0,0,,
0180C3320,734,602,0,0,,
0180C3330,574,751,0,0,,
0180C3340,546,603,0,0,,
0180C3350,162,748,0,0,,
0180C3360,491,725,0,0,,
0180C3370,489,584,0,0,,
0180C3380,357,509,0,0,,
0180C3390,420,628,0,0,,
0180C3400,565,625,0,0,,
0180C3410,156,172,201,0,,
0180C3420,0,692,0,0,,
0180C3430,415,474,0,0,,
0180C3440,430,534,0,0,,
0180C3450,397,585,0,0,,
0180C3460,308,595,0,0,,
0180C3470,574,517,0,0,,
0180C3480,542,993,0,0,,
0180C3490,167,572,0,0,,
0180C3500,633,366,0,0,,
0180C3510,412,525,3,0,,
0180C3520,504,554,0,0,,
0180C3530,180,625,0,0,,
0180C3540,757,251,0,0,,
0180C3550,496,487,0,0,,
0180C3560,279,414,109,0,,
0180C3570,447,360,0,0,,
0180C3580,826,317,0,0,,
0180C3590,179,706,0,0,,
0180C3600,398,502,0,0,,
0180C3610,0,88,424,0,,
0180C3620,244,1060,0,0,,
0180C3630,646,432,0,0,,
0180C3640,457,509,0,0,,
0180C3650,470,625,0,0,,
0180C3660,293,454,0,0,,
0180C3670,702,211,0,0,,
0180C3680,169,588,0,0,,
0180C3690,386,610,5,0,,
0180C3700,111,707,0,0,,
0180C3710,249,458,0,0,,
0180C3720,38,113,301,0,,
