deso,Median income tkr,Antal personer totalt,,,,,
0160C1210,565.5,1695,,,,,
0160C1220,323.9,1706,,,,,
0160C1230,351.3,1534,,,,,
0160C1240,536,1293,,,,,
0160C1250,495.4,1409,,,,,
0160C1260,412,1539,,,,,
0160C1270,525.1,1223,,,,,
0160C1280,487.9,1185,,,,,
0160C1290,302.8,1125,,,,,
0160C1300,504.3,1610,,,,,
0160C1310,519.6,993,,,,,
0160C1320,479.9,1262,,,,,
0160C1330,496.2,1085,,,,,
0160C1340,455.5,2400,,,,,
0160C1350,507.4,1168,,,,,
0160C1360,410.6,1543,,,,,
0160C1370,561.5,1509,,,,,
0160C1380,513.7,1332,,,,,
0162C1010,528.7,1192,,,,,
0162C1020,488.2,1209,,,,,
0162C1030,543.5,916,,,,,
0162C1040,368.6,1220,,,,,
0162C1050,506.8,1107,,,,,
0162C1060,381.2,887,,,,,
0162C1070,409.7,1319,,,,,
0162C1080,394.3,1006,,,,,
0162C1090,407,1366,,,,,
0162C1100,409.6,1132,,,,,
0162C1110,552,1289,,,,,
0162C1120,512.1,1057,,,,,
0162C1130,610.9,1181,,,,,
0162C1140,440.6,1513,,,,,
0162C1150,371.8,1049,,,,,
0162C1160,479.4,1108,,,,,
0162C1170,517,1118,,,,,
0162C1180,541.4,1236,,,,,
0162C1190,496.6,1239,,,,,
0162C1200,587.9,1163,,,,,
0163C1010,581.7,1938,,,,,
0163C1020,491.3,1428,,,,,
0163C1030,323.6,1328,,,,,
0163C1040,436.8,1465,,,,,
0163C1050,537.8,1353,,,,,
0163C1060,479.7,1415,,,,,
0163C1070,422.7,1456,,,,,
0163C1080,625.5,920,,,,,
0163C1090,200.9,922,,,,,
0163C1100,279.3,1441,,,,,
0163C1110,475.6,1320,,,,,
0163C1120,222.9,1295,,,,,
0163C1130,573.5,969,,,,,
0163C1140,526.5,1810,,,,,
0163C1150,380.6,1588,,,,,
0163C1160,344.1,1450,,,,,
0163C1170,331,1394,,,,,
0163C1180,419.8,1367,,,,,
0163C1190,425.7,1196,,,,,
0163C1200,474.6,1306,,,,,
0163C1210,433.9,1604,,,,,
0163C1220,360.2,1697,,,,,
0163C1230,383.3,1100,,,,,
0163C1240,373.6,1763,,,,,
0163C1250,281.4,1306,,,,,
0163C1260,256,1356,,,,,
0163C1270,295.7,1645,,,,,
0163C1280,516.8,1224,,,,,
0163C1290,469.5,1785,,,,,
0163C1300,452.5,1433,,,,,
0163C1310,454.7,2320,,,,,
