id,full_address,lon,lat,vehicleTypes.car,vehicleTypes.bike,vehicleTypes.motorbike,isFastCharge,plugTypes,powerRange.min,powerRange.max
5ca4a9d9ad356b0011f1057f,"9, Doktor Liborius gata Göteborg VÄSTRA GÖTALAND",11.9768025,57.6826824,TRUE,TRUE,TRUE,FALSE,,22,22
64508d1460ec9387ca9510c5,Gropegårdsgatan 10 GÖTEBORG VÄSTRA GÖTALAND,11.920893,57.7168884,TRUE,FALSE,FALSE,FALSE,,11,11
6344d002f59d7400259f9021,Exportgatan 6 Gothenburg Västra Götalands län,11.9865194,57.7344452,TRUE,FALSE,FALSE,TRUE,,22,100
629ad5af1cbb3006c44b479d,Exportgatan 6 Hisings Backa NA,11.9865194,57.7344452,FALSE,FALSE,FALSE,TRUE,,22,150
5bc331696ac45700109a62bc,"11, Kaptensgatan Göteborg VÄSTRA GÖTALAND",11.9281221,57.69775730000001,TRUE,TRUE,TRUE,FALSE,,22,22
628aec4c65a5e7c65b718d33,"1, Doktor Lindhs Gata Göteborg VÄSTRA GÖTALAND",11.9676688,57.6817749,TRUE,TRUE,TRUE,FALSE,,7.4,7.4
612439a35e3f0400145b672c,Fridkullagatan 18G Göteborg NA,11.988351,57.6812017,FALSE,FALSE,FALSE,FALSE,,10,22
5bc330156ac457001099bf25,"1, Hornsgatan Göteborg VÄSTRA GÖTALAND",12.01363,57.72808089999999,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc331e46ac45700109a8924,"1, Kolhamnsgatan Göteborg VÄSTRA GÖTALAND",11.9208141,57.7093818,TRUE,TRUE,TRUE,TRUE,,22,50
64508d2060ec9387ca951510,Särögatan 10 GÖTEBORG VÄSTRA GÖTALAND,11.9513156,57.6835268,TRUE,FALSE,FALSE,FALSE,,11,11
5bc331666ac45700109a606b,"2, Colliandersgatan Göteborg VÄSTRA GÖTALAND",12.0241036,57.7229153,TRUE,TRUE,TRUE,TRUE,,22,50
5e4ec3276b392c00122840bc,"9, Olbergsgatan Göteborg VÄSTRA GÖTALAND",12.0299008,57.7041245,TRUE,TRUE,TRUE,FALSE,,11,11
5ebddadfd85dc20012100ffd,"2b, Grafiska vägen Göteborg VÄSTRA GÖTALAND",12.0030508,57.6830352,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc331696ac45700109a6319,"13, Doktor Westrings gata Göteborg VÄSTRA GÖTALAND",11.9761357,57.67888259999999,TRUE,TRUE,TRUE,FALSE,,22,22
64508d1460ec9387ca95109d,Volvo Lastvagnar - GC - Gropegårdsgatan 11 GÖTEBORG VÄSTRA GÖTALAND,11.9237404,57.7167624,TRUE,FALSE,FALSE,FALSE,,3.7,3.7
628aec2e65a5e7c65b70165c,Torpavallsgatan 2 Göteborg VÄSTRA GÖTALAND,12.025393,57.7232476,TRUE,TRUE,TRUE,TRUE,,50,150
603d66ccd15e750018fa641b,"77, Östra Eriksbergsgatan Göteborg VÄSTRA GÖTALAND",11.916959,57.70230379999999,TRUE,TRUE,TRUE,FALSE,,11,11
5ddd0e0f09ad0c0012911dd7,"2, Mejerigatan Göteborg VÄSTRA GÖTALAND",12.0092749,57.68288159999999,TRUE,TRUE,TRUE,FALSE,,11,11
5ca4a957ad356b0011f0dff8,"1, Betzensgatan Göteborg VÄSTRA GÖTALAND",11.9209718,57.6953579,TRUE,TRUE,TRUE,FALSE,,22,22
5bea4f844405f90018e1a038,mejerigatan GÖTEBORG VÄSTRA GÖTALAND,12.0084447,57.6830154,TRUE,TRUE,TRUE,FALSE,,11,11
5d8e6fc6b6ad260012df7762,Grafiska vägen 16 Göteborg NA,12.0037585,57.6832425,FALSE,FALSE,FALSE,FALSE,,22,22
5bc331f16ac45700109a9333,"4C, Torpavallsgatan Göteborg VÄSTRA GÖTALAND",12.0294198,57.72431289999999,TRUE,TRUE,TRUE,TRUE,,43,50
5bc331ea6ac45700109a8ea7,"3, Studiegången Göteborg VÄSTRA GÖTALAND",12.037258,57.7152013,TRUE,TRUE,TRUE,FALSE,,11,11
6575479a7194eb27475e7e84,Exportgatan 26 HISINGS BACKA VÄSTRA GÖTALAND,11.9935302,57.74209339999999,TRUE,FALSE,FALSE,FALSE,,11,11
5bc330ec6ac45700109a14a6,"2, Katrinedalsgatan Göteborg VÄSTRA GÖTALAND",12.0031279,57.6775623,TRUE,TRUE,TRUE,FALSE,,22,22
657547a57194eb27475e7ebd,Torpavallsgatan 6 GÖTEBORG VÄSTRA GÖTALAND,12.0333536,57.72508599999999,TRUE,FALSE,FALSE,FALSE,,11,11
5bea51f94405f90018e1bfeb,"3-5, Uddeholmsgatan Göteborg VÄSTRA GÖTALAND",12.0422514,57.7244583,TRUE,TRUE,TRUE,FALSE,,22,22
5bc331566ac45700109a5342,"3, Birger Jarlsgatan Göteborg VÄSTRA GÖTALAND",11.9236082,57.6848024,TRUE,TRUE,TRUE,FALSE,,11,11
62b90f8d1cbb3006c41676da,"3, Birger Jarlsgatan Göteborg VÄSTRA GÖTALAND",11.9236082,57.6848024,TRUE,TRUE,TRUE,FALSE,,11,11
62df4b2d8b4a7ee49b4eb321,Hus 2A Gothenburg Västra Götalands län,11.97456,57.70887,TRUE,FALSE,FALSE,FALSE,,0,0
6375b9e3245f61d7caa8c1d4,"29, Skytteskogsgatan Kungsladugård NA",11.9314311,57.68052540000001,FALSE,FALSE,FALSE,FALSE,,22,22
5ca4a8f5ad356b0011f0c31d," 81, Karl Johansgatan Göteborg VÄSTRA GÖTALAND",11.9139864,57.69102969999999,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
6448a8a360ec9387ca43901c,"106B, Kungsladugårdsgatan Göteborg NA",11.9319873,57.679677,FALSE,FALSE,FALSE,FALSE,,11,11
5bc32eb46ac457001098e6d4,"8-10, Knipplekullen Göteborg VÄSTRA GÖTALAND",11.9438155,57.7422073,TRUE,TRUE,TRUE,FALSE,,11,11
5bc331fb6ac45700109a979e,"81, Karl Johansgatan Göteborg VÄSTRA GÖTALAND",11.9139864,57.69102969999999,TRUE,TRUE,TRUE,TRUE,,22,50
5bc36a7ac914260010575c9e,Knipplekullen 8-10 Gothenburg NA,11.944505,57.74385410000001,TRUE,FALSE,FALSE,FALSE,,11,11
5bc36a79c914260010575b7f,Adolf Edelsvärds Gata 5 Göteborg NA,11.9091627,57.6916817,TRUE,FALSE,FALSE,FALSE,,11,11
5bc331206ac45700109a2ff7,"5, Adolf Edelsvärds gata Göteborg VÄSTRA GÖTALAND",11.9091627,57.6916817,TRUE,TRUE,TRUE,FALSE,,11,11
610c7e3ae579990013828c78,Fredåsgatan 13 Mölndal NA,12.0080904,57.6738361,FALSE,FALSE,FALSE,FALSE,,10,22
5bc32faa6ac457001099783e,"5, Adolf Edelsvärds gata Göteborg VÄSTRA GÖTALAND",11.9091627,57.6916817,TRUE,TRUE,TRUE,FALSE,,3.6,3.6
5bc330c16ac457001099f443,"1, Importgatan Hisings backa VÄSTRA GÖTALAND",11.9921246,57.74695080000001,TRUE,TRUE,TRUE,TRUE,,22,50
5f7ce218e08eff001bf8bc30,"100, Göteborgsvägen Mölndal VÄSTRA GÖTALAND",12.0093455,57.6742593,TRUE,TRUE,TRUE,FALSE,,11,11
5bc36a35c9142600105734c7,"100, Göteborgsvägen Mölndal NA",12.0093455,57.6742593,TRUE,TRUE,TRUE,FALSE,,22,22
5bc32fff6ac457001099b33f,"1, Rimmaregatan Hisings backa VÄSTRA GÖTALAND",11.9852743,57.7480328,TRUE,TRUE,TRUE,FALSE,,22,22
