"","deso","regso","nodes","avg_accessibility","avg_dijk_dist","avg_euc_dist","area_m2","Median income tkr","pop","total_households","swedish","foreign","middle_school","gymnasium","post_gymnasium_less_than_3","post_gymnasium_more_than_3","education_missing","hyresrätt","bostadsrätt","äganderätt","bilar_i_trafik","cars_per_household"
"30","1480C1350","Frölunda torg östra",18,1.24446285851894,369.174750396264,0.0034874657306955,98551.5662732315,221.5,2008,1091,0.36703187250996,0.63296812749004,0.141253507951356,0.326473339569691,0.190832553788587,0.291861552853134,0.0495790458372311,0.960732984293194,0.0392670157068063,0,314,0.287809349220898
"31","1480C1370","Frölunda torg västra",133,1.24286223948609,390.875338969416,0.00195258727277739,256762.683181922,271.8,1599,731,0.407754846779237,0.592245153220763,0.176064441887227,0.431530494821634,0.135788262370541,0.220943613348677,0.0356731875719217,0.827770360480641,0.096128170894526,0.0761014686248331,378,0.517099863201094
"32","1480C3710","Hammarkullen yttre",44,1.24016980343029,437.743137756096,0.0126841842072449,545251.516174887,226.5,1872,600,0.168803418803419,0.831196581196581,0.259132420091324,0.384703196347032,0.132420091324201,0.189497716894977,0.0342465753424658,0.841243862520458,0,0.158756137479542,342,0.57
"33","1480C3680","Hjällbo östra",68,1.23984224164466,412.524223841022,0.00328781861006954,673037.513425813,247.9,1963,708,0.124299541518085,0.875700458481915,0.26172607879925,0.390243902439024,0.135084427767355,0.166041275797373,0.0469043151969981,0.858710562414266,0,0.141289437585734,477,0.673728813559322
"34","1480C2940","Kvillebäcken Wieselgrensplatsen",34,1.2391312135883,416.314271625723,0.00414879785537003,95609.6905492859,322.8,1755,1155,0.561253561253561,0.438746438746439,0.0789473684210526,0.332043343653251,0.178018575851393,0.367647058823529,0.043343653250774,0.819685690653433,0.180314309346567,0,312,0.27012987012987
"35","1480C1970","Landala norra",36,1.23399044763786,462.110529657651,0.00255216363560188,117407.582059167,304.8,1744,1075,0.673738532110092,0.326261467889908,0.0865191146881288,0.298792756539235,0.191146881287726,0.400402414486922,0.0231388329979879,0.970744680851064,0.0292553191489362,0,370,0.344186046511628
"36","1480C3410","Skälltorp Selma Lagerlöfs torg",85,1.23352373481698,469.171009384046,0.00282560504684236,225060.573150205,223.9,2031,1163,0.315115706548498,0.684884293451502,0.184140969162996,0.393832599118943,0.173568281938326,0.20704845814978,0.0414096916299559,0.91220556745182,0.0877944325481799,0,344,0.295786758383491
"37","1480C2170","Majorna Hängmattan",200,1.23327543352744,470.065526319169,0.00240992827361404,483585.314059418,305.3,1688,1013,0.701421800947867,0.298578199052133,0.0750507099391481,0.328600405679513,0.199797160243408,0.380324543610548,0.0162271805273834,0.877133105802048,0.122866894197952,0,336,0.331688055281343
"38","1480C3080","Brunnsbo torg",53,1.23142520387572,488.77884137419,0.00348115244339563,134011.24349362,266,2332,1070,0.358919382504288,0.641080617495712,0.173122529644269,0.390513833992095,0.139920948616601,0.251383399209486,0.0450592885375494,0.997255260750229,0,0.00274473924977127,507,0.473831775700935
"39","1480C1480","Högsbotorp västra",88,1.22835985530255,513.219310761051,0.00332994496310743,221171.35883188,263.9,2005,1310,0.647381546134663,0.352618453865337,0.115215479331574,0.329815303430079,0.182937554969217,0.354441512752858,0.0175901495162709,1,0,0,415,0.316793893129771
