deso,bilar_i_trafik,,"Personbilar i trafik efter år, region och status"
0127C1380,173,,
0127C1390,245,,
0127C1400,454,,
0127C1410,346,,
0127C1420,267,,
0127C1430,591,,
0127C1440,377,,
0127C1450,528,,
0127C1460,642,,
0127C1470,259,,
0127C1480,583,,
0128A0010,883,,
0128C1010,1121,,
0128C1020,723,,
0128C1030,696,,
0128C1040,719,,
0128C1050,702,,
0128C1060,784,,
0128C1070,808,,
0136A0010,405,,
0136A0020,1189,,
0136A0030,661,,
0136B2010,850,,
0136C1010,538,,
0136C1020,610,,
0136C1030,850,,
0136C1040,1107,,
0136C1050,747,,
0136C1060,784,,
0136C1070,529,,
0136C1080,900,,
0136C1090,444,,
0136C1100,448,,
0136C1110,687,,
0136C1120,383,,
0136C1130,332,,
0136C1140,482,,
0136C1150,547,,
0136C1160,601,,
0136C1170,617,,
0136C1180,674,,
0136C1190,401,,
0136C1200,591,,
0136C1210,361,,
0136C1220,342,,
0136C1230,595,,
0136C1240,458,,
0136C1250,584,,
0136C1260,327,,
0136C1270,314,,
0136C1280,246,,
0136C1290,460,,
0136C1300,725,,
0136C1310,1477,,
0136C1320,694,,
0136C1330,586,,
0136C1340,1098,,
0136C1350,575,,
0136C1360,877,,
0136C1370,729,,
0136C1380,745,,
0136C1390,760,,
0136C1400,906,,
0136C1410,388,,
0136C1420,617,,
0136C1430,903,,
0136C1440,769,,
0136C1450,1015,,
0138A0010,679,,
0138C1010,729,,
0138C1020,823,,
0138C1030,657,,
0138C1040,987,,
0138C1050,643,,
0138C1060,893,,
0138C1070,722,,
0138C1080,657,,
0138C1090,777,,
0138C1100,585,,
0138C1110,920,,
0138C1120,415,,
0138C1130,409,,
0138C1140,641,,
0138C1150,614,,
0138C1160,641,,
0138C1170,940,,
0138C1180,441,,
0138C1190,412,,
0138C1200,443,,
0138C1210,624,,
0138C1220,486,,
0138C1230,686,,
0138C1240,586,,
0138C1250,354,,
0139A0010,1356,,
0139A0020,1126,,
0139B2010,676,,
0139B2020,544,,
0139B2030,196,,
0139B2040,774,,
0139B2050,434,,
0139B2060,534,,
0139C1010,981,,
0139C1020,616,,
0139C1030,1061,,
0139C1040,752,,
0139C1050,1165,,
0139C1060,839,,
0139C1070,830,,
0140A0010,715,,
0140A0020,1040,,
0140C1010,1214,,
0140C1020,1096,,
0140C1030,919,,
0140C1040,572,,
0160C1010,823,,
0160C1020,528,,
0160C1030,623,,
0160C1040,764,,
0160C1050,803,,
0160C1060,680,,
0160C1070,771,,
0160C1080,451,,
0160C1090,745,,
0160C1100,449,,
0160C1110,640,,
0160C1120,776,,
0160C1130,487,,
0160C1140,1206,,
0160C1150,806,,
0160C1160,1088,,
0160C1170,901,,
0160C1180,513,,
0160C1190,489,,
0160C1200,599,,
0160C1210,1014,,
0160C1220,734,,
0160C1230,730,,
0160C1240,786,,
0160C1250,838,,
0160C1260,753,,
0160C1270,826,,
0160C1280,717,,
0160C1290,496,,
0160C1300,911,,
0160C1310,609,,
0160C1320,728,,
0160C1330,648,,
0160C1340,1222,,
0160C1350,703,,
0160C1360,794,,
0160C1370,917,,
0160C1380,794,,
0162C1010,702,,
0162C1020,633,,
0162C1030,607,,
0162C1040,357,,
0162C1050,569,,
0162C1060,368,,
0162C1070,597,,
0162C1080,618,,
0162C1090,534,,
0162C1100,654,,
0162C1110,629,,
0162C1120,626,,
0162C1130,664,,
0162C1140,714,,
0162C1150,677,,
0162C1160,607,,
0162C1170,598,,
0162C1180,652,,
0162C1190,680,,
0162C1200,673,,
0163C1010,854,,
0163C1020,744,,
0163C1030,378,,
0163C1040,708,,
0163C1050,750,,
0163C1060,726,,
0163C1070,793,,
0163C1080,594,,
0163C1090,156,,
0163C1100,423,,
0163C1110,773,,
0163C1120,283,,
0163C1130,612,,
0163C1140,935,,
0163C1150,581,,
0163C1160,496,,
0163C1170,575,,
0163C1180,523,,
0163C1190,661,,
0163C1200,616,,
0163C1210,817,,
0163C1220,708,,
0163C1230,549,,
0163C1240,791,,
0163C1250,422,,
0163C1260,406,,
0163C1270,588,,
0163C1280,770,,
0163C1290,949,,
0163C1300,789,,
0163C1310,1309,,
0163C1320,680,,
0163C1330,550,,
0163C1340,799,,
0163C1350,392,,
0163C1360,637,,
0163C1370,580,,
0163C1380,824,,
0163C1390,294,,
0163C1400,408,,
0180C1010,357,,
0180C1020,387,,
0180C1030,602,,
0180C1040,542,,
0180C1050,663,,
0180C1060,494,,
0180C1070,263,,
0180C1080,380,,
0180C1090,374,,
0180C1100,656,,
0180C1110,662,,
0180C1120,310,,
0180C1130,313,,
0180C1140,301,,
0180C1150,441,,
0180C1160,302,,
0180C1170,678,,
0180C1180,337,,
0180C1190,378,,
0180C1200,288,,
0180C1210,448,,
0180C1220,480,,
0180C1230,313,,
0180C1240,797,,
0180C1250,526,,
0180C1260,343,,
0180C1270,525,,
0180C1280,401,,
0180C1290,415,,
0180C1300,244,,
0180C1310,465,,
0180C1320,431,,
0180C1330,358,,
0180C1340,384,,
0180C1350,621,,
0180C1360,378,,
0180C1370,342,,
0180C1380,385,,
0180C1390,472,,
0180C1400,482,,
0180C1410,400,,
0180C1420,448,,
0180C1430,553,,
0180C1440,477,,
0180C1450,449,,
0180C1460,431,,
0180C1470,365,,
0180C1480,341,,
0180C1490,399,,
0180C1500,425,,
0180C1510,264,,
0180C1520,319,,
0180C1530,440,,
0180C1540,288,,
0180C1550,669,,
0180C1560,335,,
0180C1570,451,,
0180C1580,331,,
0180C1590,443,,
0180C1600,348,,
0180C1610,500,,
0180C1620,482,,
0180C1630,538,,
0180C1640,517,,
0180C1650,633,,
0180C1660,275,,
0180C1670,657,,
0180C1680,267,,
0180C1690,630,,
0180C1700,652,,
0180C1710,503,,
0180C1720,305,,
0180C1730,401,,
0180C1740,315,,
0180C1750,318,,
0180C1760,363,,
0180C1770,571,,
0180C1780,277,,
0180C1790,572,,
0180C1800,297,,
0180C1810,411,,
0180C1820,782,,
0180C1830,671,,
0180C1840,431,,
0180C1850,321,,
0180C1860,561,,
0180C1870,694,,
0180C1880,630,,
0180C1890,525,,
0180C1900,287,,
0180C1910,347,,
0180C1920,581,,
0180C1930,705,,
0180C1940,425,,
0180C1950,449,,
0180C1960,390,,
0180C1970,499,,
0180C1980,393,,
0180C1990,403,,
0180C2000,331,,
0180C2010,399,,
0180C2020,361,,
0180C2030,642,,
0180C2040,264,,
0180C2050,480,,
0180C2060,299,,
0180C2070,559,,
0180C2080,432,,
0180C2090,574,,
0180C2100,464,,
0180C2110,777,,
0180C2120,475,,
0180C2130,382,,
0180C2140,503,,
0180C2150,446,,
0180C2160,432,,
0180C2170,365,,
0180C2180,486,,
0180C2190,465,,
0180C2200,267,,
0180C2210,245,,
0180C2220,656,,
0180C2230,332,,
0180C2240,419,,
0180C2250,374,,
0180C2260,273,,
0180C2270,424,,
0180C2280,388,,
0180C2290,502,,
0180C2300,752,,
0180C2310,423,,
