from_node,to_node,distance
378,2938,2106.459391341535
379,1530,549.1072362862838
380,1530,222.16760646114997
381,1530,203.54909627033473
382,1530,297.8724211573632
383,383,0
384,383,173.00803558947135
385,474,774.4982373935469
386,474,867.7154814149428
387,1105,609.5409437296272
388,1105,674.2144083236856
389,11470,1638.5714081390497
390,11470,1722.330564299788
391,8715,6954.9212192072055
393,13068,1161.9914292621042
394,13068,1050.571959638114
395,9146,192.75212601430843
396,709,1148.1068873073648
397,4016,0
398,4016,0
399,2686,20040.514562433465
400,2686,20365.848318792963
401,11623,7509.507580732192
402,11623,7676.289586846827
403,5464,0
404,5464,0
405,5464,0
406,5464,0
407,11623,7438.088304196441
408,11623,7574.738536685733
409,11623,0
410,11623,0
411,5158,1242.4576086876714
412,9286,1626.2199560891734
415,5464,0
416,11623,0
417,11623,0
418,11623,8252.418492522833
419,11623,7985.604464761085
420,5464,0
421,5464,0
422,9286,3159.7746315142967
423,9286,3324.9452541518285
424,5158,920.3630221793042
425,9286,306.98330906197367
426,5158,472.8668466736807
427,5158,546.5102771505589
428,5158,524.0921061238538
429,5158,481.4693881415472
430,5158,420.8258983030678
431,5158,359.87901058575073
432,3264,0
433,3264,0
434,5158,510.3038129645468
435,5158,695.7187031474118
436,4289,1550.8226538390775
437,4289,1134.112855584677
438,4289,961.4813563352593
439,4289,1007.2830344295496
440,4289,1767.1932432616202
443,15025,584.3350933737938
444,5091,0
445,7938,424.2188030596284
446,7938,419.4570439052399
447,5464,0
448,5464,0
449,5464,0
450,5464,0
451,5464,0
452,5464,0
453,5464,0
454,5464,0
455,5464,0
456,5464,0
457,5464,0
458,5464,0
467,9286,3107.207283530555
468,9286,3075.831272693742
469,9286,3203.152313711665
470,9286,3481.986753361218
471,7883,0
472,7883,0
473,474,522.3813000248223
474,474,0
475,3264,0
476,5158,692.7064845038641
477,1068,0
478,1068,0
479,11623,0
480,11623,0
481,503,337.7293139752501
482,4754,134.40589574029315
483,15416,112.58501821837213
484,15416,124.0020188197603
485,1105,421.43395495196745
486,6798,0
487,11623,5522.245090296883
488,11623,5670.51430064247
489,11623,6090.6409201043825
490,11623,6046.180579577009
491,11623,6114.424959190693
492,11623,6166.794888971708
493,11623,14030.747286029178
494,11623,13998.993682913519
495,11623,0
496,11623,0
497,5760,0
498,4212,0
499,15416,233.13068509961187
500,15416,146.3863187819742
501,503,354.9422294162987
502,503,371.80754250341624
503,503,0
504,503,143.33132953037085
505,1068,0
506,1068,0
507,503,285.998747977489
508,503,255.66503444223144
509,503,295.34446993416907
510,503,284.02532933030506
511,5464,0
512,11623,0
513,11623,0
514,5464,0
515,5760,0
516,5760,0
517,5760,0
518,15416,485.915621313906
519,7080,174.0662078812831
520,7080,174.58826334698082
521,11623,7712.419460557298
522,11623,7300.118218091675
523,11623,7653.314124048462
524,11623,7512.488062127964
525,10612,328.61022478632276
526,10612,552.572483560356
527,10612,77.95931853235919
528,10612,55.67538484164933
529,10612,631.4517864806761
530,10612,764.236385611696
531,1530,183.8099630012734
532,1530,501.2138729344817
533,9739,0
534,9739,0
535,9739,0
537,6270,7855.1012438295975
538,6270,7814.7179646492295
539,6270,7767.34393203153
540,6270,8425.723236460704
541,6270,8363.526468369719
542,6270,8339.049897361789
543,6270,8400.323342386862
544,6270,8286.413159697873
545,6270,8201.273545819602
546,7399,2425.833255781224
547,13068,1581.8437178549323
548,6270,8114.230088557199
549,6270,8097.826813189441
550,13068,864.3707238248741
551,13068,848.149460721022
552,13068,1123.4288077614926
553,13068,1097.7870105147285
554,13068,1198.7319508626033
555,13068,1184.957497444979
556,13068,1340.1505303917368
557,13068,1256.0773705847582
558,13068,1415.622996284087
559,13068,1335.7694795328816
560,3386,327.73050729960335
561,4070,0
562,3386,307.8877940819453
563,4070,0
564,3386,415.93955496367687
565,9739,893.4154976041285
566,9739,80.91868751785185
567,7028,757.8010237448204
568,2991,3129.432436392655
569,2991,3280.9510345600024
570,2938,4131.462872408244
571,2938,582.1391057444015
572,9286,5218.90155685316
573,210,0
574,210,0
575,474,0
