deso,regso,nodes,avg_accessibility,avg_dijk_dist,avg_euc_dist,area_m2,Median income tkr,pop,total_households,swedish,foreign,middle_school,gymnasium,post_gymnasium_less_than_3,post_gymnasium_more_than_3,education_missing,hyresrätt,bostadsrätt,äganderätt,bilar_i_trafik,cars_per_household
1480C2310,Överås,145,1.1915493383575773,845.9131386027515,0.005058426409323578,221066.48046537171,459.6,1256,542,0.8821656050955414,0.1178343949044586,0.024205748865355523,0.2087745839636914,0.19667170953101362,0.5582450832072617,0.012102874432677761,0.45750452079566006,0.21518987341772153,0.32730560578661844,392,0.7232472324723247
1480C2790,Olskroken,30,1.1908074111958074,852.6718852546603,0.006508658726834687,134335.26325363462,367.6,1474,835,0.7381275440976933,0.2618724559023066,0.06653426017874876,0.30089374379344586,0.20953326713008938,0.4051638530287984,0.01787487586891758,0.5945945945945946,0.40540540540540543,0,319,0.38203592814371257
1480C2340,Överås,223,1.190198210499055,860.9692319168158,0.005228349138106772,602907.3136962801,437.5,1229,462,0.7632221318144833,0.2367778681855167,0.03535353535353535,0.18686868686868688,0.18686868686868688,0.5269360269360269,0.06397306397306397,0.3691148775894539,0.11487758945386065,0.5160075329566854,415,0.8982683982683982
1480C3460,Kortedala nordvästra,103,1.1891046224402715,869.1588782539026,0.007411309351259063,914864.2809036187,299.9,2215,1062,0.4121896162528217,0.5878103837471783,0.12977707006369427,0.3853503184713376,0.1751592356687898,0.2770700636942675,0.03264331210191083,0.30919220055710306,0.6908077994428969,0,671,0.6318267419962336
1480C2640,Lunden östra-Härlanda,236,1.189057220703902,877.0328342988223,0.007004158713843692,574102.7950816555,423.4,1603,712,0.8640049906425452,0.13599500935745476,0.03858520900321544,0.2390139335476956,0.1939978563772776,0.5005359056806002,0.027867095391211148,0.3785900783289817,0.2924281984334204,0.3289817232375979,499,0.7008426966292135
1480C3760,Hammarkullen yttre,63,1.1890318782520353,905.0511688781066,0.010711812207433773,636393.5704901004,275.9,736,255,0.25407608695652173,0.7459239130434783,0.20241691842900303,0.4078549848942598,0.1540785498489426,0.21148036253776434,0.02416918429003021,0.03088803088803089,0,0.9691119691119691,285,1.1176470588235294
1480C2660,Södra Biskopsgården västra,221,1.1887415117188729,889.3985828806508,0.007315300339457361,2015437.095374871,265.3,1794,741,0.2140468227424749,0.7859531772575251,0.22210636079249219,0.3931178310740355,0.13138686131386862,0.20437956204379562,0.049009384775808136,0.375,0.4817708333333333,0.14322916666666666,443,0.5978407557354926
1480C3660,Eriksbo,38,1.1873234063457847,884.3821917480999,0.010395476246414272,227545.04012037476,224.7,1703,661,0.19025249559600704,0.8097475044039929,0.2822857142857143,0.37714285714285717,0.12114285714285715,0.15542857142857142,0.064,0.748159057437408,0.24742268041237114,0.004418262150220913,369,0.5582450832072617
1480C1200,Önnered,273,1.1865639926474296,950.0357118950853,0.010936651087884079,1025275.4906470659,431.8,2040,746,0.8274509803921568,0.17254901960784313,0.05159958720330237,0.28792569659442724,0.2084623323013416,0.42930856553147573,0.022703818369453045,0.030913978494623656,0.05510752688172043,0.9139784946236559,792,1.061662198391421
1480C2300,Masthugget Masthuggsterassen,128,1.1860394221317727,925.1205066001759,0.002736002933097772,221201.32245966783,405.6,1524,867,0.652230971128609,0.34776902887139105,0.059356136820925554,0.24748490945674045,0.16700201207243462,0.4949698189134809,0.03118712273641851,0.2243797195253506,0.7756202804746494,0,318,0.36678200692041524
1480C3350,Backa centrala,79,1.1856829746430215,971.4684229092531,0.014348110358873413,686488.7280169008,292.8,1658,678,0.3238841978287093,0.6761158021712907,0.19243986254295534,0.44215349369988544,0.13402061855670103,0.1970217640320733,0.03436426116838488,0.8870967741935484,0,0.11290322580645161,401,0.5914454277286135
1480C1740,Olofshöjd,18,1.1839038811193967,918.9843060316424,0.0036988247821287575,78237.65460782089,64.6,1782,1223,0.3686868686868687,0.6313131313131313,0.006191950464396285,0.02889576883384933,0.22910216718266255,0.6037151702786377,0.13209494324045407,0.9783301465901848,0.007010834926704908,0.014659018483110261,75,0.06132461161079313
1480C1810,Guldheden norra,279,1.1835375092889264,932.4705850239292,0.004610517983040566,305357.5232840034,427.8,1830,1066,0.8120218579234972,0.18797814207650274,0.013828867761452032,0.09161624891961971,0.14261019878997408,0.7337942955920485,0.018150388936905792,0.14904679376083188,0.8509532062391681,0,499,0.46810506566604126
1480C2100,Stigberget,36,1.1815663755178436,963.6511002181143,0.004445033417089597,95530.12716052542,351.6,1983,1047,0.7776096822995462,0.22239031770045387,0.0626984126984127,0.23253968253968255,0.19682539682539682,0.49126984126984125,0.016666666666666666,0.72504537205081665,0.2749546279491833,0,421,0.40210124164278893
1480C3940,Gårdsten nordöstra,24,1.1801678483718543,952.5482247730067,0.00500794789756474,340173.47326834395,254.6,1536,542,0.091796875,0.908203125,0.16219369894982497,0.4469078179696616,0.12602100350058343,0.16102683780630106,0.10385064177362893,1,0,0,342,0.6309963099630996
1480C2480,Olskroken,45,1.178203722837392,991.6004825564422,0.004360241014079144,142750.3033045177,367.5,1438,898,0.7670375521557719,0.2329624478442281,0.048707753479125246,0.31411530815109345,0.20278330019880716,0.41749502982107356,0.016898608349900597,0.7846638655462185,0.21533613445378152,0,286,0.3184855233853007
1480C3430,Kortedala sydöstra,48,1.1775283531294383,980.8635959542817,0.008011556704267644,746673.8282326359,223.9,2285,1284,0.32297592997811814,0.6770240700218818,0.2145481263776635,0.36370315944158704,0.16531961792799413,0.20573108008817045,0.050698016164584865,0.8302169035153328,0.16978309648466716,0,453,0.352803738317757
1480C3590,Skogome,410,1.1774968963338133,1185.2659684145078,0.01656256093541845,3324998.3770186855,378.6,3046,1420,0.6582403151674326,0.3417596848325673,0.059076923076923075,0.352,0.18646153846153846,0.37784615384615383,0.024615384615384615,0.3854679802955665,0.3232758620689655,0.29125615763546797,1069,0.7528169014084507
1480C2320,Olivedal Järntorget,131,1.1767325677032978,1016.0034545492662,0.0018225221648940665,259233.67836022703,414.1,1843,1053,0.7807921866521975,0.21920781334780248,0.03621399176954732,0.20658436213991768,0.2074074074074074,0.5135802469135803,0.03621399176954732,0.3271276595744681,0.6728723404255319,0,402,0.3817663817663818
1480C1630,Kallebäck östra,206,1.1761243947224593,997.9772558024063,0.0048119291677189355,2304721.5127761876,351.3,1994,1117,0.7026078234704113,0.29739217652958877,0.08176100628930817,0.3419811320754717,0.19654088050314467,0.3608490566037736,0.018867924528301886,0.7982758620689655,0.18275862068965518,0.01896551724137931,569,0.5094001790510295
1480C2810,Olskroken,331,1.17545974998221,1021.6643670274921,0.005083774458011847,744043.4278688467,322.5,1639,868,0.5472849298352654,0.4527150701647346,0.09421841541755889,0.35224839400428265,0.18308351177730192,0.32548179871520344,0.044967880085653104,0.8044444444444444,0.19555555555555557,0,337,0.3882488479262673
1480C2430,Eriksberg,8,1.1713323035249452,1032.0980412569097,0.0031172954616681863,112630.17269092052,450,1722,845,0.6846689895470384,0.3153310104529617,0.04995004995004995,0.26973026973026976,0.16683316683316685,0.4985014985014985,0.014985014985014986,0.18800461361014995,0.81199538638985,0,533,0.6307692307692307
